[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv0_up/bias` to `synthesis.layer4.epilogue.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv0_up/StyleMod/weight` to `synthesis.layer4.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv0_up/StyleMod/bias` to `synthesis.layer4.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv1/weight` to `synthesis.layer5.conv.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv1/Noise/weight` to `synthesis.layer5.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv1/bias` to `synthesis.layer5.epilogue.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv1/StyleMod/weight` to `synthesis.layer5.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv1/StyleMod/bias` to `synthesis.layer5.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `32x32/Conv0_up/weight` to `synthesis.layer6.conv.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `32x32/Conv0_up/Noise/weight` to `synthesis.layer6.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `32x32/Conv0_up/bias` to `synthesis.layer6.epilogue.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `32x32/Conv0_up/StyleMod/weight` to `synthesis.layer6.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `32x32/Conv0_up/StyleMod/bias` to `synthesis.layer6.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `32x32/Conv1/weight` to `synthesis.layer7.conv.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `32x32/Conv1/Noise/weight` to `synthesis.layer7.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `32x32/Conv1/bias` to `synthesis.layer7.epilogue.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `32x32/Conv1/StyleMod/weight` to `synthesis.layer7.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `32x32/Conv1/StyleMod/bias` to `synthesis.layer7.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv0_up/weight` to `synthesis.layer8.conv.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv0_up/Noise/weight` to `synthesis.layer8.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv0_up/bias` to `synthesis.layer8.epilogue.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv0_up/StyleMod/weight` to `synthesis.layer8.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv0_up/StyleMod/bias` to `synthesis.layer8.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv1/weight` to `synthesis.layer9.conv.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv1/Noise/weight` to `synthesis.layer9.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv1/bias` to `synthesis.layer9.epilogue.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv1/StyleMod/weight` to `synthesis.layer9.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `64x64/Conv1/StyleMod/bias` to `synthesis.layer9.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv0_up/weight` to `synthesis.layer10.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv0_up/Noise/weight` to `synthesis.layer10.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv0_up/bias` to `synthesis.layer10.epilogue.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv0_up/StyleMod/weight` to `synthesis.layer10.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv0_up/StyleMod/bias` to `synthesis.layer10.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv1/weight` to `synthesis.layer11.conv.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv1/Noise/weight` to `synthesis.layer11.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv1/bias` to `synthesis.layer11.epilogue.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv1/StyleMod/weight` to `synthesis.layer11.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `128x128/Conv1/StyleMod/bias` to `synthesis.layer11.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv0_up/weight` to `synthesis.layer12.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv0_up/Noise/weight` to `synthesis.layer12.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv0_up/bias` to `synthesis.layer12.epilogue.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv0_up/StyleMod/weight` to `synthesis.layer12.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv0_up/StyleMod/bias` to `synthesis.layer12.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv1/weight` to `synthesis.layer13.conv.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv1/Noise/weight` to `synthesis.layer13.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv1/bias` to `synthesis.layer13.epilogue.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv1/StyleMod/weight` to `synthesis.layer13.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `256x256/Conv1/StyleMod/bias` to `synthesis.layer13.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `512x512/Conv0_up/weight` to `synthesis.layer14.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `512x512/Conv0_up/Noise/weight` to `synthesis.layer14.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,595][DEBUG]   Converting `512x512/Conv0_up/bias` to `synthesis.layer14.epilogue.bias`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `512x512/Conv0_up/StyleMod/weight` to `synthesis.layer14.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `512x512/Conv0_up/StyleMod/bias` to `synthesis.layer14.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `512x512/Conv1/weight` to `synthesis.layer15.conv.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `512x512/Conv1/Noise/weight` to `synthesis.layer15.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `512x512/Conv1/bias` to `synthesis.layer15.epilogue.bias`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `512x512/Conv1/StyleMod/weight` to `synthesis.layer15.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `512x512/Conv1/StyleMod/bias` to `synthesis.layer15.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv0_up/weight` to `synthesis.layer16.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv0_up/Noise/weight` to `synthesis.layer16.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv0_up/bias` to `synthesis.layer16.epilogue.bias`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv0_up/StyleMod/weight` to `synthesis.layer16.epilogue.style_mod.dense.linear.weight`.
